RACETHX_DSC,SDAFRDHOME_DSC_2,n,n_se,n_low,n_upp,rse
Hispanic,"""Excellent"", ""Very good"", or ""Good""",492,68.08791951993719,378,647,0.13839008032507558
Hispanic,"""Fair"" or ""Poor""",748,90.24443664982947,604,961,0.12064764257998592
Non-Hispanic White Only,"""Excellent"", ""Very good"", or ""Good""",3011,108.69625827180933,2774,3202,0.036099720448956936
Non-Hispanic White Only,"""Fair"" or ""Poor""",2961,158.1830533878054,2679,3302,0.05342217270780324
Non-Hispanic Black Only,"""Excellent"", ""Very good"", or ""Good""",1531,193.72526352224943,1156,1921,0.12653511660499636
Non-Hispanic Black Only,"""Fair"" or ""Poor""",1295,195.3618216880142,928,1701,0.15085854956603414
Non-Hispanic Asian Only,"""Excellent"", ""Very good"", or ""Good""",928,165.82386092599145,621,1281,0.17868950530818045
Non-Hispanic Asian Only,"""Fair"" or ""Poor""",1263,174.99723335824177,964,1666,0.13855679600810908
Non-Hispanic Other Race or Multiple Race,"""Excellent"", ""Very good"", or ""Good""",2653,434.34772372126355,1518,3251,0.16371945862090598
Non-Hispanic Other Race or Multiple Race,"""Fair"" or ""Poor""",2962,504.8330519086485,2101,4130,0.17043654689691035
All Race/Ethnicity Groups,"""Excellent"", ""Very good"", or ""Good""",2117,74.67486052752783,1998,2292,0.035273906720608324
All Race/Ethnicity Groups,"""Fair"" or ""Poor""",2102,98.28701991847578,1941,2328,0.04675881061773348
