SDHLTHFOOD_DSC_2,RACETHX_DSC,sample_n
N/A or Undeterminable,Hispanic,294
N/A or Undeterminable,Non-Hispanic White Only,562
N/A or Undeterminable,Non-Hispanic Black Only,235
N/A or Undeterminable,Non-Hispanic Asian Only,63
N/A or Undeterminable,Non-Hispanic Other Race or Multiple Race,36
"""Excellent"", ""Very good"", or ""Good""",Hispanic,2293
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic White Only,7676
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic Black Only,1454
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic Asian Only,676
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic Other Race or Multiple Race,309
"""Fair"" or ""Poor""",Hispanic,362
"""Fair"" or ""Poor""",Non-Hispanic White Only,975
"""Fair"" or ""Poor""",Non-Hispanic Black Only,378
"""Fair"" or ""Poor""",Non-Hispanic Asian Only,28
"""Fair"" or ""Poor""",Non-Hispanic Other Race or Multiple Race,80
