SDNOTRANS_DSC,RACETHX_DSC,sample_n
N/A or Undeterminable,Hispanic,263
N/A or Undeterminable,Non-Hispanic White Only,523
N/A or Undeterminable,Non-Hispanic Black Only,204
N/A or Undeterminable,Non-Hispanic Asian Only,57
N/A or Undeterminable,Non-Hispanic Other Race or Multiple Race,33
Yes,Hispanic,219
Yes,Non-Hispanic White Only,398
Yes,Non-Hispanic Black Only,196
Yes,Non-Hispanic Asian Only,43
Yes,Non-Hispanic Other Race or Multiple Race,60
No,Hispanic,2467
No,Non-Hispanic White Only,8292
No,Non-Hispanic Black Only,1667
No,Non-Hispanic Asian Only,667
No,Non-Hispanic Other Race or Multiple Race,332
