RACETHX_DSC,SDPUBTRANS_DSC_2,n,n_se,n_low,n_upp,rse
Hispanic,"""Excellent"", ""Very good"", or ""Good""",0.14951840746385495,0.012721730254040239,0.1244760313097043,0.1745607836180056,0.08508470943362362
Hispanic,"""Fair"" or ""Poor""",0.10893642994231627,0.017970621726608245,0.07356175527031136,0.14431110461432117,0.16496429831713783
Non-Hispanic White Only,"""Excellent"", ""Very good"", or ""Good""",0.1886302729930402,0.010232130567410297,0.16848860535737448,0.2087719406287059,0.05424437130400499
Non-Hispanic White Only,"""Fair"" or ""Poor""",0.19259887547533525,0.01265351304036486,0.16769078303031326,0.21750696792035723,0.06569878982489337
Non-Hispanic Black Only,"""Excellent"", ""Very good"", or ""Good""",0.25291258166640207,0.020750854005185237,0.21206509621113717,0.29376006712166697,0.08204753543086332
Non-Hispanic Black Only,"""Fair"" or ""Poor""",0.2571955482598864,0.033859441385483025,0.19054416903610555,0.3238469274836672,0.13164862928058668
Non-Hispanic Other Race or Multiple Race,"""Excellent"", ""Very good"", or ""Good""",0.21860098013902396,0.03823001116605445,0.14334625449400662,0.2938557057840413,0.17488490281123742
Non-Hispanic Other Race or Multiple Race,"""Fair"" or ""Poor""",0.39682340182058506,0.07449670908937268,0.25017867865724613,0.5434681249839239,0.18773265071462375
All Race/Ethnicity Groups,"""Excellent"", ""Very good"", or ""Good""",0.18212892035508627,0.007420976620772462,0.1675209319559043,0.19673690875426822,0.04074573442978859
All Race/Ethnicity Groups,"""Fair"" or ""Poor""",0.18911125752108213,0.010316602203038936,0.16880330979367364,0.20941920524849061,0.05455308339795076
